Input-outputtabel 2010 in werklijke prijzen (mln euro)																																																																																												
		Landbouw	Bosbouw	Visserij	Winning van aardolie en aardgas	Delfstoffenwinning (geen olie en gas)	Voedingsmiddelenindustrie	Drankenindustrie	Tabaksindustrie	Textiel-, kleding-, lederindustrie	Houtindustrie	Papierindustrie	Grafische industrie	Aardolie-industrie	Chemische industrie	Farmaceutische industrie	Rubber- en kunststofproductindustrie	Bouwmaterialenindustrie	Basismetaalindustrie	Metaalproductenindustrie	Elektrotechnische industrie	Elektrische apparatenindustrie	Machine-industrie	Auto- en aanhangwagenindustrie	Overige transportmiddelenindustrie	Meubelindustrie	Overige industrie	Reparatie en installatie van machines	Energiebedrijven	Waterleidingbedrijven	Riolering, afvalbeheer en sanering	Algemene bouw en projectontwikkeling	Grond-, water-  en wegenbouw	Gespecialiseerde bouw	Autohandel en -reparatie	Groothandel en handelsbemiddeling	Detailhandel (niet in auto's)	Vervoer over land	Vervoer over water	Vervoer door de lucht	Opslag, dienstverlening voor vervoer	Post en koeriers	Logiesverstrekking	Restaurants en cafés	Uitgeverijen	Film, TV en radio	Telecommunicatie	IT-dienstverlening	Diensten op het gebied van informatie	Bankwezen	Verzekeraars en pensioenfondsen	Overige financiële dienstverlening	Verhuur en handel van onroerend goed	Juridische diensten en administratie	Holdings en managementadviesbureaus	Architecten-, ingenieursbureaus e.d.	Research	Reclamewezen en marktonderzoek	Design, fotografie, vertaalbureaus	Veterinaire dienstverlening	Verhuur van roerende goederen	Uitzendbureaus en arbeidsbemiddeling	Reisbureaus, reisorganisatie en -info	Beveiligings- en opsporingsdiensten	Schoonmaakbedrijven, hoveniers e.d.	Overige zakelijke dienstverlening	Openbaar bestuur en overheidsdiensten	Onderwijs	Gezondheidszorg	Verzorging en welzijn	Kunst, cultuur en kansspelen	Sport en recreatie	Ideële, belangen-, hobbyverenigingen	Reparatie van consumentenartikelen	Overige persoonlijke dienstverlening	Huishoudens met personeel	Goederen en diensten n.e.g.	Totaal kolommen 1-76	Uitvoer goederen	Uitvoer diensten	Consumptieve bestedingen door huishoudens	Consumptieve bestedingen IZW huishoudens	Sociale uitkeringen in natura	Individualiseerbaar bestedingen van de overheid	Collectieve consumptie door overheid	Bruto investeringen vaste activa	Verandering in voorraden inclusief kostbaarheden	Handels- en vervoersmarges	Afgedragen minus toegerekende BTW	Cif/fob-correctie en herclassificatie	Cif/fob-herclassificatie	Totaal
52	Verhuur en handel van onroerend goed	96	14	1	19	1	176	44	1	47	40	38	81	44	83	23	81	60	15	229	66	39	195	11	19	76	39	88	80	6	72	561	87	362	565	980	3396	276	0	9	583	81	294	643	81	77	187	361	21	651	306	63	2645	564	762	449	88	158	99	14	105	226	33	18	57	72	327	249	206	894	63	72	150	29	148	0	0	18796	0	659	44824	0	2341	0	0	1846	0	194	0			68660
53	Juridische diensten en administratie	277	0	6	33	7	145	23	2	10	8	26	48	17	165	19	24	18	43	76	124	19	94	23	24	15	15	33	111	22	22	106	82	207	109	1186	542	160	55	8	118	51	40	69	42	32	81	160	7	545	237	50	206	319	2008	92	46	175	95	4	54	146	89	6	31	118	1344	478	253	164	154	95	234	23	31	0	0	11501	0	635	1769	0	350	0	0	1185	0	14	0			15454
54	Holdings en managementadviesbureaus	127	0	1	165	10	502	87	8	51	28	102	150	45	438	166	114	70	79	208	825	110	278	51	72	70	55	112	415	42	86	292	179	418	243	3826	854	290	156	59	297	152	119	215	154	88	425	787	47	605	308	154	659	948	4226	331	194	222	273	11	154	345	117	50	122	171	1561	223	157	87	94	47	150	9	33	0	0	24319	36	8013	1	0	0	0	0	1205	1	407	0			33982
55	Architecten-, ingenieursbureaus e.d.	33	0	1	74	6	127	5	1	3	3	8	6	91	80	16	10	6	18	354	9	12	50	14	39	4	9	33	100	26	8	507	257	236	101	210	106	59	13	1	96	6	8	20	2	2	19	16	3	22	11	6	119	10	160	1263	23	2	4	5	4	131	4	2	18	3	386	30	21	7	3	9	54	0	7	0	5	5117	33	1664	48	0	0	0	0	7641	91	459	0			15053
56	Research	4	0	0	3	0	41	2	0	1	1	3	1	20	41	15	1	1	1	5	33	17	11	2	2	1	6	0	2	2	0	6	5	3	17	43	18	10	2	0	1	1	1	3	1	0	1	2	0	2	1	1	1	2	89	28	184	0	36	0	0	0	0	0	0	0	78	9	2	0	0	0	1	0	0	0	0	764	0	928	3	0	0	0	623	2133	0	143	0			4594
57	Reclamewezen en marktonderzoek	17	0	0	6	3	232	119	25	14	3	10	25	6	69	45	22	23	19	39	144	19	41	8	17	18	20	16	62	5	12	53	18	92	173	979	668	41	9	24	19	17	54	80	134	52	238	117	21	278	138	59	186	158	589	52	13	727	58	2	70	134	132	5	17	61	444	59	50	45	62	46	57	5	13	0	0	7288	99	510	0	0	0	0	0	89	2	99	0			8087
58	Design, fotografie, vertaalbureaus	15	0	0	12	4	85	19	3	11	4	16	19	10	84	15	8	14	14	24	42	12	21	5	21	9	20	19	22	4	12	40	25	41	81	344	277	38	20	16	39	15	41	82	116	107	29	180	59	71	38	19	53	49	285	56	26	163	479	1	43	39	43	7	14	34	341	73	19	38	35	25	29	12	29	0	0	4115	3	504	150	0	0	0	0	71	0	309	0			5152
59	Veterinaire dienstverlening	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	9	1	0	0	0	0	0	246	0	3	300	0	0	0	0	2	0	68	0			619
60	Verhuur van roerende goederen	1	0	1	232	1	76	24	6	6	4	10	68	26	57	5	40	33	32	73	15	13	57	8	9	11	7	35	22	7	14	71	160	220	18	355	44	599	75	42	171	61	7	25	15	31	95	153	11	61	28	22	54	111	153	48	13	36	33	3	153	39	19	11	35	40	82	47	51	120	76	69	41	6	32	0	0	4429	22	1314	4398	0	0	0	0	40	0	236	0			10439
61	Uitzendbureaus en arbeidsbemiddeling	69	0	2	139	7	792	34	12	36	49	68	55	52	231	88	91	113	103	365	190	127	436	74	169	31	19	205	257	49	168	100	86	552	70	1155	241	390	225	84	458	74	94	186	84	60	254	779	35	708	256	79	109	324	1023	481	162	101	120	5	98	794	22	58	279	129	733	759	531	520	11	52	24	18	32	0	0	16386	0	136	33	0	280	0	104	318	0	65	0			17322
62	Reisbureaus, reisorganisatie en -info	2	0	0	0	0	0	0	0	0	0	0	2	4	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	5	1	1	0	3	25	7	70	2	36	7	1	116	73	3	7	0	3	0	15	82	2	2	3	8	3	3	8	0	0	1	4	1147	0	0	0	55	11	0	0	38	56	4	0	1	0	0	1816	0	1018	3749	0	0	0	0	50	0	36	0			6669
63	Beveiligings- en opsporingsdiensten	4	0	0	20	1	32	3	3	3	4	5	14	3	69	9	4	4	7	8	6	2	11	5	5	2	8	4	28	9	5	11	6	20	13	89	158	17	11	10	235	6	27	24	7	6	6	6	1	62	20	12	61	12	32	9	3	4	3	1	6	6	5	64	60	4	231	206	11	10	18	17	5	1	4	0	0	1798	3	46	21	0	0	0	0	24	0	8	0			1900
64	Schoonmaakbedrijven, hoveniers e.d.	32	2	0	21	3	114	7	5	5	6	14	18	14	70	16	14	15	26	60	30	12	57	16	9	8	24	23	39	7	26	31	15	63	89	217	193	154	42	14	102	12	75	86	14	12	28	73	7	178	101	29	392	41	111	38	13	22	22	1	56	65	14	12	453	9	753	570	278	141	127	93	76	3	34	0	0	5552	0	73	2328	0	0	0	0	141	0	161	0			8255
65	Overige zakelijke dienstverlening	169	0	9	0	2	103	10	4	10	9	10	9	2	71	30	10	10	19	16	49	10	23	10	8	8	8	9	20	10	10	12	6	13	4	420	84	46	12	7	48	6	25	46	28	0	94	196	41	107	35	13	58	48	152	26	0	48	65	1	43	46	34	6	25	203	168	41	9	41	17	12	45	15	13	0	0	3017	5	532	26	0	0	0	0	69	0	78	0			3727
66	Openbaar bestuur en overheidsdiensten	86	0	3	10	9	121	11	2	13	6	40	18	11	71	20	20	29	32	40	13	9	40	9	15	9	16	14	50	9	113	61	28	87	181	229	116	255	26	16	43	10	35	40	15	20	26	56	5	13	30	28	84	64	78	47	30	261	24	5	25	43	19	6	22	27	1460	149	357	346	25	63	21	3	18	0	0	5336	238	690	3427	0	28	15375	47416	2806	3	0	0			75319
67	Onderwijs	3	0	0	5	1	30	4	3	2	4	6	7	7	18	10	7	5	5	19	17	4	26	5	6	3	24	16	27	3	12	27	34	39	25	75	44	40	3	14	27	8	9	18	11	39	10	30	3	168	78	18	20	258	179	35	90	36	18	1	10	56	6	1	11	12	916	496	129	59	126	25	51	2	13	0	0	3549	0	394	2346	0	0	26285	2449	2718	0	0	0			37741
68	Gezondheidszorg	11	0	0	2	0	22	2	2	2	3	3	5	13	11	3	5	4	4	14	5	5	13	3	3	3	5	7	6	1	5	19	10	35	24	91	66	36	13	34	66	7	8	20	5	3	5	22	2	22	11	9	11	20	23	15	6	7	4	1	4	61	3	5	9	6	544	63	1267	427	7	7	11	1	7	0	0	3179	0	223	5796	0	29723	798	0	1260	0	0	0			40979
69	Verzorging en welzijn	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	324	0	121	327	0	0	0	0	0	0	0	772	0	10	3265	93	24330	2600	1319	151	0	0	0			32540
70	Kunst, cultuur en kansspelen	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	2	2	0	4	0	1	0	2	1	3	1	0	2	1	4	2	30	10	5	1	1	4	0	38	64	47	347	2	7	0	12	6	4	3	5	31	4	1	34	259	1	1	6	78	1	1	0	77	47	12	13	1071	33	25	0	0	0	0	2311	37	553	3476	470	14	893	0	343	112	3	0			8212
71	Sport en recreatie	1	0	0	1	0	17	10	2	2	0	2	2	1	6	5	2	2	2	4	12	3	3	1	1	2	2	3	2	0	12	6	3	9	15	74	62	5	0	2	2	2	5	8	14	22	20	12	2	25	15	5	18	10	43	6	2	51	6	0	6	13	36	1	3	6	112	81	2	14	75	454	6	0	7	0	0	1360	0	288	3132	709	16	0	0	56	0	1	0			5562
72	Ideële, belangen-, hobbyverenigingen	61	0	1	3	1	41	3	2	23	3	5	4	4	19	5	8	7	6	24	9	6	21	5	9	6	11	8	16	2	13	54	17	61	27	125	87	20	11	1	19	1	27	42	12	15	6	65	4	53	34	29	79	57	82	33	14	26	19	3	18	29	7	5	12	9	141	33	201	81	1	14	133	2	10	0	0	2045	31	1	440	3184	0	0	182	56	0	0	0			5939
73	Reparatie van consumentenartikelen	3	0	0	1	1	9	0	1	0	1	0	2	3	5	3	2	1	2	1	3	1	2	2	3	10	3	3	4	1	2	3	3	4	3	14	11	6	5	2	5	1	4	3	3	2	2	27	3	14	6	1	33	7	16	8	1	1	0	0	2	3	1	0	4	1	27	5	4	1	0	5	1	0	0	0	0	311	0	109	252	0	0	0	0	50	2	73	0			797
74	Overige persoonlijke dienstverlening	6	0	0	2	0	21	2	1	4	2	3	4	1	7	2	5	5	5	10	1	1	12	3	7	4	10	3	2	2	7	16	9	15	28	20	23	20	5	6	7	4	54	90	2	5	0	3	1	3	7	1	7	7	10	4	2	0	11	11	2	12	2	9	19	2	41	17	119	188	36	18	16	0	303	0	0	1287	0	96	3534	0	0	0	0	49	0	74	0			5040
75	Huishoudens met personeel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	421	0	0	0	0	0	0			425
76	Goederen en diensten n.e.g.	15	0	0	1	0	88	7	2	6	5	11	9	4	16	4	12	10	9	31	16	7	15	11	13	6	11	14	15	2	12	307	27	321	6	25	33	11	2	2	3	3	3	30	2	1	2	7	1	9	4	3	195	6	8	6	2	4	2	0	2	20	1	2	51	2	24	21	22	38	6	4	37	0	31	0	0	1638	0	0	0	0	0	0	0	0	0	0	0			1638
77	Verbruik uit binnenland exclusief marges	13354	112	171	2862	229	22074	1455	379	1053	650	2287	1481	4155	16145	1596	2567	1866	2818	6985	3910	1028	6591	1460	2687	951	1191	3732	6464	475	3818	21006	8166	13212	5348	25216	11629	11210	1883	3180	7672	1200	2087	4527	2638	1961	4905	7482	619	8335	9822	1375	34115	4053	13691	5500	1417	4261	2036	108	3347	3056	3347	392	1801	1467	24816	6129	7281	7097	2925	2347	1908	248	1362	0	564	401287	160196	81166	164101	5316	59855	45951	56378	84756	2315	117603	0			1178924
78	Invoer goederen	1660	8	41	12	47	10558	799	259	683	769	1410	868	21102	11446	622	1466	902	2866	2632	3059	1260	4479	1772	1000	652	475	901	3195	36	483	2504	818	4171	1599	1481	261	1560	662	1420	85	22	290	1564	222	47	1419	95	26	85	50	40	521	64	110	185	193	51	170	76	223	35	16	12	336	121	1276	494	2924	784	117	196	61	100	255	0	240	102443	162498	922	25171	0	1771	0	0	15973	1940	0	0	-10651		300067
79	Invoer diensten	321	8	8	307	14	845	175	96	128	49	128	265	194	1859	533	172	246	153	304	12327	168	385	90	437	96	61	138	547	17	128	699	213	603	546	7276	1045	1024	2282	1982	1009	1005	105	233	248	229	1456	1430	75	6262	582	301	578	733	3214	448	401	515	491	9	300	404	1758	42	144	150	1378	273	300	239	124	102	198	32	61	0	0	60698	0	12776	12637	0	0	0	0	5745	0	2283	0		7379	101518
80	Invoerrechten	9	0	0	0	0	117	2	7	9	2	3	0	4	35	2	5	6	7	12	16	9	32	7	6	3	2	3	1	0	2	11	4	27	5	9	1	4	0	3	0	1	3	14	0	1	8	1	0	0	0	0	0	1	0	3	0	1	0	0	1	0	0	0	2	1	4	3	7	7	0	0	0	0	1	0	0	424	1035	6	205	0	1	0	0	61	0	0	0			1732
81	Overige belastingen op invoer	45	0	0	5	2	26	10	9	7	4	1	3	1	1	0	5	7	0	10	3	9	6	4	1	1	17	4	12	29	49	52	37	178	96	160	117	706	6	0	53	20	32	174	2	2	3	17	0	22	8	10	38	10	28	17	3	3	11	1	242	11	1	6	35	4	63	45	22	49	13	59	17	11	21	0	8	2684	85	71	4130	0	1	0	0	1078	3	0	0			8052
82	Subsidies op invoer	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0			2
83	Niet-aftrekbare BTW	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	119	173	0	0	0	87	0	0	0	969	370	159	1356	0	0	0	0	0	0	0	0	0	0	0	0	0	3700	907	1122	828	84	123	256	0	38	0	47	10398	0	819	21678	0	611	0	0	9887	0	0	-739			42654
84	Overige productgebonden belastingen	219	3	3	2	9	167	13	11	15	6	30	17	21	82	13	40	45	18	44	12	6	26	14	8	9	14	10	6	118	27	44	38	109	95	197	148	141	20	4	51	17	52	201	3	7	25	36	3	41	17	16	131	28	35	20	7	19	18	2	75	11	4	3	19	7	161	100	89	82	41	108	33	3	45	0	7	3321	2	83	7935	0	2	0	0	2786	0	0	0			14129
85	Overige productgebonden subsidies	54	0	3	4	2	95	3	7	4	4	7	4	19	46	7	12	10	30	16	11	4	11	2	3	3	3	3	7	4	5	10	7	15	12	85	49	68	1	20	16	2	18	24	6	25	10	12	1	21	11	5	28	19	48	12	7	7	4	1	3	7	94	1	4	10	70	35	14	15	82	39	8	2	10	0	0	1321	88	166	1425	0	506	0	0	43	0	0	0			3549
86	Handels- en vervoersmarges	1197	5	18	13	67	4047	274	115	234	227	339	146	224	1652	224	254	499	285	944	1102	455	1682	795	458	192	196	341	253	18	82	2188	798	2144	1097	751	215	333	40	63	64	18	177	976	54	37	277	81	17	71	32	29	350	37	73	174	54	35	70	40	108	19	12	13	224	71	587	254	1407	539	95	218	34	25	222	0	772	31233	36570	1697	42762	0	3168	0	0	4406	50	0	0			119886
87	Verbruik tegen aankoopprijzen	16751	136	238	3197	366	37739	2725	919	2125	1703	4191	2776	25682	31174	2983	4497	3561	6117	10915	20418	2931	13190	4140	4594	1901	1953	5126	10471	689	4584	26494	10067	20429	8774	35005	13372	14910	4897	6632	9037	2454	2728	7665	3161	2346	8083	9130	739	15764	10870	1925	37061	4907	17103	6335	2068	4878	2792	235	4293	3529	5044	467	2557	1811	31915	8170	13138	9610	3317	3114	2499	417	1995	0	1638	611167	360296	97374	277194	5316	64903	45951	56378	124649	4308	119886	-739	-10651	7379	1763411
88	Niet-productgebonden belastingen	393	6	3	19	2	248	61	5	13	8	26	10	8	61	29	20	22	23	37	13	7	37	9	13	8	16	16	27	33	48	75	25	81	82	326	167	143	7	56	77	9	155	53	11	14	29	31	1	121	157	21	2080	41	45	35	20	11	10	2	471	21	4	6	15	25	368	244	157	236	39	23	27	3	17	0	0	6762	0	0	0	0	0	0	0	0	0	0	0			6762
89	Niet-productgebonden subsidies	932	6	1	3	2	95	5	1	12	20	23	10	1	54	21	35	20	60	72	62	27	108	31	33	10	88	22	7	1	83	50	38	112	50	280	275	103	64	3	18	22	35	63	8	21	39	169	7	46	8	12	41	25	104	96	1244	13	60	1	10	194	22	39	63	65	135	198	1825	206	19	9	39	2	64	0	0	7742	0	0	0	0	0	0	0	0	0	0	0			7742
90	Lonen	1999	65	50	527	77	3950	372	160	483	502	787	1011	406	2594	865	1145	987	956	3080	1464	887	3261	770	746	648	2825	1690	1287	248	1087	4634	2629	7618	3673	18536	10385	5934	680	1380	3248	1335	1135	2964	1381	801	1656	6926	466	8388	4116	2634	2831	5776	9169	4887	1613	1533	892	147	936	9988	557	957	2424	921	22640	17643	15374	15962	1582	1343	2345	144	1028	402	0	246542	0	0	0	0	0	0	0	0	0	0	0			246542
91	Sociale premies t.l.v. werkgevers	463	17	9	190	15	932	79	33	128	128	189	244	174	571	197	271	271	227	762	296	180	785	195	178	158	885	440	322	68	309	1258	664	1962	839	3999	2247	1682	163	458	858	410	229	569	299	199	473	1475	92	2297	978	574	904	1716	2464	1086	332	344	163	32	254	2089	113	243	658	185	7624	5239	4000	4470	414	282	599	31	223	23	0	63929	0	0	0	0	0	0	0	0	0	0	0			63929
92	Bruto exploitatieoverschot	8508	22	232	16265	193	3869	734	1165	421	260	601	703	83	5121	1688	961	607	742	2159	2742	954	3862	841	1032	601	470	616	5672	660	1172	4492	1638	5655	3101	23036	8877	3308	1419	949	4279	806	813	2998	1492	914	7042	4320	465	23437	4187	878	25825	3039	5305	2806	1805	1334	1355	204	4495	1889	973	266	2664	850	12907	6643	10135	2468	2879	809	508	204	1841	0	0	258266	0	0	0	0	0	0	0	0	0	0	739			259005
93	Bruto toegevoegde waarde basisprijzen	10431	104	293	16998	285	8904	1241	1362	1033	878	1580	1958	670	8293	2758	2362	1867	1888	5966	4453	2001	7837	1784	1936	1405	4108	2740	7301	1008	2533	10409	4918	15204	7645	45617	21401	10964	2205	2840	8444	2538	2297	6521	3175	1907	9161	12583	1017	34197	9430	4095	31599	10547	16879	8718	2526	3209	2360	384	6146	13793	1625	1433	5698	1916	43404	29571	27841	22930	4895	2448	3440	380	3045	425	0	567757	0	0	0	0	0	0	0	0	0	0	739	0	0	568496
94	Cif/fob-correctie																																																																															-3272												-3272
95	Totaal	27182	240	531	20195	651	46643	3966	2281	3158	2581	5771	4734	26352	39467	5741	6859	5428	8005	16881	24871	4932	21027	5924	6530	3306	6061	7866	17772	1697	7117	36903	14985	35633	16419	80622	34773	25874	7102	9472	17481	4992	5025	14186	6336	4253	17244	21713	1756	49961	20300	6020	68660	15454	33982	15053	4594	8087	5152	619	10439	17322	6669	1900	8255	3727	75319	37741	40979	32540	8212	5562	5939	797	5040	425	1638	1178924	360296	94102	277194	5316	64903	45951	56378	124649	4308	119886	0	-10651	7379	2328635
