		huidige situatie (2010)					verandering			situatie na realiseren kansen							
ID		# (000)	onder 	boven	€		? #	? €/stuk		# (000)	onder 	boven		€	? €	? € na TW corr	
		750	-11.98083067	158.1668169	54819.74483		0.01	-0.01		757.5	-11.86102236	156.5851487	7.5	54814.26286	-5.481974483	-5.481974483	2
		857.1428571	-11.98083067	168.195009	66948.93356		0.01	-0.01		865.7142857	-11.86102236	166.5130589	8.571428571	66942.23867	-6.694893356	-6.694893356	2
		950	-7.587859425	153.7216121	69413.53251		0.01	-0.01		959.5	-7.511980831	152.184396	9.5	69406.59116	-6.941353251	-6.941353251	2
		500	-7.987220447	232.0675215	56020.07526		0.01	-0.01		505	-7.907348243	229.7468463	5	56014.47325	-5.602007526	-5.602007526	2
		3750	-11.98083067	122.1906608	206643.4314		0.01	-0.01		3787.5	-11.86102236	120.9687542	37.5	206622.7671	-20.66434314	-20.66434314	
																	
5a	"5-9, 14-18"						0.02	0		0	0	0	0	0	0	0	1
	Hergebruik						0.02	0		0	0	0	0	0	0	0	1
		512.0617476	8.915680473	22.27071006	7984.678819		0.02	0		522.3029825	8.915680473	22.27071006	10.24123495	8144.372395	159.6935764	159.6935764	1
		105.1825906	20	55	3944.347147		0.02	0		107.2862424	20	55	2.103651812	4023.23409	78.88694294	78.88694294	1
							0.02	0		0	0	0	0	0	0	0	1
							0.02	0		0	0	0	0	0	0	0	1
		525.4801028	14.35415237	14.75188744	7647.322395		0.02	0		535.9897048	14.35415237	14.75188744	10.50960206	7800.268843	152.9464479	152.9464479	1
		2052.142642	64.96625185	133.196583	203329.2017		0.02	0		2093.185495	64.96625185	133.196583	41.04285284	207395.7857	4066.584034	4066.584034	1
							0.02	0		0	0	0	0	0	0	0	1
		4.32850167	1	2	6.492752505		0.02	0		4.415071704	1	2	0.086570033	6.622607556	0.12985505	0.12985505	1
		639.3196967	15	25	12786.39393		0.02	0		652.1060906	15	25	12.78639393	13042.12181	255.7278787	255.7278787	1
		106.0482909	40	80	6362.897455		0.02	0		108.1692567	40	80	2.120965818	6490.155404	127.2579491	127.2579491	1
		52.80772038	12	160	4541.463952		0.02	0		53.86387479	12	160	1.056154408	4632.293232	90.82927905	90.82927905	1
		1025.422046	18.21021528	199.7720557	111761.9131		0.02	0		1045.930487	18.21021528	199.7720557	20.50844091	113997.1514	2235.238263	2235.238263	1
		733.2481829	84.62092131	328.6372361	151510.3965		0.02	0		747.9131466	84.62092131	328.6372361	14.66496366	154540.6044	3030.20793	3030.20793	1
							0.02	0		0	0	0	0	0	0	0	1
							0.02	0		0	0	0	0	0	0	0	1
																	
5b	"5-9, 14-18"							0		0	0	0	0	0	0	0	1
	Nieuwwaarde							0		0	0	0	0	0	0	0	1
		1272.54535	40.67107964	75.4393547	73877.89663		-0.008047835	0		1262.304115	40.67107964	75.4393547	-10.24123495	73283.33951	-594.5571193	0	1
		9627.10166	64.5701586	122.0512717	898311.7405		-0.000218514	0		9624.998008	64.5701586	122.0512717	-2.103651812	898115.4473	-196.2932549	0	1
								0		0	0	0	0	0	0	0	1
								0		0	0	0	0	0	0	0	1
		730.4208092	125.9297118	208.0992191	121990.841		-0.014388421	0		719.9112072	125.9297118	208.0992191	-10.50960206	120235.5854	-1755.255569	0	1
		3806.149234	140.5002666	216.7545068	679882.491		-0.010783301	0		3765.106381	140.5002666	216.7545068	-41.04285284	672551.1135	-7331.377545	0	1
								0		0	0	0	0	0	0	0	1
		3149.944205	132.310867	233.9723982	576885.9244		-2.7483E-05	0		3149.857635	132.310867	233.9723982	-0.086570033	576870.0699	-15.85457725	0	1
		18610.50956	163.2203669	288.3854407	4202307.1		-0.000687052	0		18597.72316	163.2203669	288.3854407	-12.78639393	4199419.895	-2887.204879	0	1
		4547.74925	188.6321936	311.5827022	1137425.959		-0.000466377	0		4545.628284	188.6321936	311.5827022	-2.120965818	1136895.489	-530.4693479	0	1
		921.9920819	210.6913221	327.5516199	248127.8654		-0.001145514	0		920.9359275	210.6913221	327.5516199	-1.056154408	247843.6315	-284.2338278	0	1
		1183.181795	252.4925841	398.0791474	384872.3144		-0.017333297	0		1162.673354	252.4925841	398.0791474	-20.50844091	378201.2084	-6671.105957	0	1
		1192.843387	217.4564989	403.2381831	370195.7733		-0.012294123	0		1178.178423	217.4564989	403.2381831	-14.66496366	365644.5408	-4551.232478	0	1
								0		0	0	0	0	0	0	0	1
								0		0	0	0	0	0	0	0	1
																	
6	13	44444.44444	-1.597444089	0.098949511	-33299.87952		0.01	0		44444.44444	-1.597444089	0.098949511	0	-33299.87952	0	0	1
	Recycling																
																	
7	4-18	44444.44444	-1.597444089	0.098949511	-33299.87952		0.01	0		44888.88889	-1.597444089	0.098949511	444.4444444	-33632.87832	-332.9987952	-332.9987952	3
	Recycling						0.01	0		0	0	0	0	0	0	0	3
		952.3809524	-7.987220447	28.68693506	9857.006957		0.01	0		961.9047619	-7.987220447	28.68693506	9.523809524	9955.577026	98.57006957	98.57006957	3
		9000	-21.56549521	4.911302514	-74943.86712		0.01	0		9090	-21.56549521	4.911302514	90	-75693.30579	-749.4386712	-749.4386712	3
		750	-11.98083067	61.50474387	18571.46745		0.01	0		757.5	-11.98083067	61.50474387	7.5	18757.18212	185.7146745	185.7146745	3
							0.01	0		0	0	0	0	0	0	0	3
		595.2380952	-9.984025559	126.61251	34710.85847		0.01	0		601.1904762	-9.984025559	126.61251	5.952380952	35057.96705	347.1085847	347.1085847	3
		3600	-7.188498403	21.80532287	26310.28405		0.01	0		3636	-7.188498403	21.80532287	36	26573.38689	263.1028405	263.1028405	3
		564.7058824	-19.16932907	144.0627284	35264.01864		0.01	0		570.3529412	-19.16932907	144.0627284	5.647058824	35616.65883	352.6401864	352.6401864	3
		2266.666667	-13.57827476	37.38297454	26978.65975		0.01	0		2289.333333	-13.57827476	37.38297454	22.66666667	27248.44635	269.7865975	269.7865975	3
		16666.66667	-19.96805112	6.266448396	-114180.0227		0.01	0		16833.33333	-19.96805112	6.266448396	166.6666667	-115321.8229	-1141.800227	-1141.800227	3
		4000	-12.77955272	28.21046432	30861.82321		0.01	0		4040	-12.77955272	28.21046432	40	31170.44144	308.6182321	308.6182321	3
		750	-11.98083067	158.1668169	54819.74483		0.01	0		757.5	-11.98083067	158.1668169	7.5	55367.94228	548.1974483	548.1974483	3
		857.1428571	-11.98083067	168.195009	66948.93356		0.01	0		865.7142857	-11.98083067	168.195009	8.571428571	67618.4229	669.4893356	669.4893356	3
		950	-7.587859425	153.7216121	69413.53251		0.01	0		959.5	-7.587859425	153.7216121	9.5	70107.66784	694.1353251	694.1353251	3
		500	-7.987220447	232.0675215	56020.07526		0.01	0		505	-7.987220447	232.0675215	5	56580.27601	560.2007526	560.2007526	3
		3750	-11.98083067	122.1906608	206643.4314		0.01	0		3787.5	-11.98083067	122.1906608	37.5	208709.8657	2066.434314	2066.434314	3
																	
8	5	16666.66667	-19.96805112	6.266448396	-114180.0227		0.01	0.02		16833.33333	-20.36741214	6.391777364	166.6666667	-117628.2594	-3448.236685	-3448.236685	2
	Recycling																
																	
9	4-18	44444.44444	-1.597444089	0.098949511	-33299.87952		0.02	0		45333.33333	-1.597444089	0.098949511	888.8888889	-33965.87711	-665.9975904	-665.9975904	1
	Recycling						0.02	0		0	0	0	0	0	0	0	1
		952.3809524	-7.987220447	28.68693506	9857.006957		0.02	0		971.4285714	-7.987220447	28.68693506	19.04761905	10054.1471	197.1401391	197.1401391	1
		9000	-21.56549521	4.911302514	-74943.86712		0.02	0		9180	-21.56549521	4.911302514	180	-76442.74446	-1498.877342	-1498.877342	1
		750	-11.98083067	61.50474387	18571.46745		0.02	0		765	-11.98083067	61.50474387	15	18942.8968	371.429349	371.429349	1
							0.02	0		0	0	0	0	0	0	0	1
		595.2380952	-9.984025559	126.61251	34710.85847		0.02	0		607.1428571	-9.984025559	126.61251	11.9047619	35405.07564	694.2171694	694.2171694	1
		3600	-7.188498403	21.80532287	26310.28405		0.02	0		3672	-7.188498403	21.80532287	72	26836.48973	526.205681	526.205681	1
		564.7058824	-19.16932907	144.0627284	35264.01864		0.02	0		576	-19.16932907	144.0627284	11.29411765	35969.29902	705.2803729	705.2803729	1
		2266.666667	-13.57827476	37.38297454	26978.65975		0.02	0		2312	-13.57827476	37.38297454	45.33333333	27518.23295	539.573195	539.573195	1
		16666.66667	-19.96805112	6.266448396	-114180.0227		0.02	0		17000	-19.96805112	6.266448396	333.3333333	-116463.6231	-2283.600454	-2283.600454	1
		4000	-12.77955272	28.21046432	30861.82321		0.02	0		4080	-12.77955272	28.21046432	80	31479.05967	617.2364641	617.2364641	1
		750	-11.98083067	158.1668169	54819.74483		0.02	0		765	-11.98083067	158.1668169	15	55916.13973	1096.394897	1096.394897	1
		857.1428571	-11.98083067	168.195009	66948.93356		0.02	0		874.2857143	-11.98083067	168.195009	17.14285714	68287.91223	1338.978671	1338.978671	1
		950	-7.587859425	153.7216121	69413.53251		0.02	0		969	-7.587859425	153.7216121	19	70801.80316	1388.27065	1388.27065	1
		500	-7.987220447	232.0675215	56020.07526		0.02	0		510	-7.987220447	232.0675215	10	57140.47676	1120.401505	1120.401505	1
		3750	-11.98083067	122.1906608	206643.4314		0.02	0		3825	-11.98083067	122.1906608	75	210776.3	4132.868628	4132.868628	1
																	
10a	"3, 5, 6, 10, 11"						0.02	-0.01		0	0	0	0	0	0	0	3
	Hergebruik						0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		105.1825906	20	55	3944.347147		0.02	-0.01		107.2862424	19.8	54.45	2.103651812	3983.001749	38.65460204	38.65460204	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		2739.508707	35	60	130126.6636		0.02	-0.01		2794.298881	34.65	59.4	54.79017414	131401.9049	1275.241303	1275.241303	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		639.3196967	15	25	12786.39393		0.02	-0.01		652.1060906	14.85	24.75	12.78639393	12911.70059	125.3066606	125.3066606	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		77.4801799	17.29050279	245.8100559	10192.53931		0.02	-0.01		79.0297835	17.11759777	243.3519553	1.549603598	10292.42619	99.88688522	99.88688522	3
		3209.151138	36.3115727	627.8560831	1065707.194		0.02	-0.01		3273.334161	35.94845697	621.5775223	64.18302277	1076151.125	10443.9305	10443.9305	3
																	
10a	"3, 5, 6, 10, 11"						0.02	-0.01		0	0	0	0	0	0	0	3
	Hergebruik componenten						0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		2250	10	71	91125		0.02	-0.01		2295	9.9	70.29	45	92018.025	893.025	893.025	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		375	5	77	15375		0.02	-0.01		382.5	4.95	76.23	7.5	15525.675	150.675	150.675	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		1666.666667	8	46	45000		0.02	-0.01		1700	7.92	45.54	33.33333333	45441	441	441	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
							0.02	-0.01		0	0	0	0	0	0	0	3
		75	4	519	19612.5		0.02	-0.01		76.5	3.96	513.81	1.5	19804.7025	192.2025	192.2025	3
		375	31	708	138562.5		0.02	-0.01		382.5	30.69	700.92	7.5	139920.4125	1357.9125	1357.9125	3
																	
10b	"3, 5, 6, 10, 11"							-0.01		0	0	0	0	0	0	0	3
	Nieuwwaarde							-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
		9627.10166	64.5701586	122.0512717	898311.7405		-0.003724242	-0.01		9591.248008	63.92445702	120.8307589	-35.85365181	886016.5485	-12295.192	0	3
								-0.01		0	0	0	0	0	0	0	3
		16509.99843	92.59572405	175.4088598	2212377.63		-0.003659308	-0.01		16449.58326	91.66976681	173.6547712	-60.41517414	2182239.039	-30138.59038	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
		18610.50956	163.2203669	288.3854407	4202307.1		-0.002030379	-0.01		18572.72316	161.5881633	285.5015863	-37.78639393	4151837.074	-50470.0257	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
								-0.01		0	0	0	0	0	0	0	3
		692.8919129	474.3571336	800.9907313	441839.1108		-0.003860059	-0.01		690.2173093	469.6135622	792.980824	-2.674603598	435732.25	-6106.860852	0	3
		4233.984381	777.3110416	1265.238489	4324061.405		-0.016487548	-0.01		4164.176359	769.5379311	1252.586104	-69.80802277	4210240.55	-113820.8544	0	3
																	
11	1-18	44444.44444	-1.597444089	0.098949511	-33299.87952		0.01	0		44888.88889	-1.597444089	0.098949511	444.4444444	-33632.87832	-332.9987952	-332.9987952	1
	Recycling	2020	-16.1341853	11.11570996	-5068.660095		0.01	0		2040.2	-16.1341853	11.11570996	20.2	-5119.346696	-50.68660095	-50.68660095	1
		952.3809524	-7.987220447	28.68693506	9857.006957		0.01	0		961.9047619	-7.987220447	28.68693506	9.523809524	9955.577026	98.57006957	98.57006957	1
		9000	-21.56549521	4.911302514	-74943.86712		0.01	0		9090	-21.56549521	4.911302514	90	-75693.30579	-749.4386712	-749.4386712	1
		750	-11.98083067	61.50474387	18571.46745		0.01	0		757.5	-11.98083067	61.50474387	7.5	18757.18212	185.7146745	185.7146745	1
		8080	-16.1341853	7.862072621	-33419.33524		0.01	0		8160.8	-16.1341853	7.862072621	80.8	-33753.52859	-334.1933524	-334.1933524	1
		595.2380952	-9.984025559	126.61251	34710.85847		0.01	0		601.1904762	-9.984025559	126.61251	5.952380952	35057.96705	347.1085847	347.1085847	1
		3600	-7.188498403	21.80532287	26310.28405		0.01	0		3636	-7.188498403	21.80532287	36	26573.38689	263.1028405	263.1028405	1
		564.7058824	-19.16932907	144.0627284	35264.01864		0.01	0		570.3529412	-19.16932907	144.0627284	5.647058824	35616.65883	352.6401864	352.6401864	1
		2266.666667	-13.57827476	37.38297454	26978.65975		0.01	0		2289.333333	-13.57827476	37.38297454	22.66666667	27248.44635	269.7865975	269.7865975	1
		16666.66667	-19.96805112	6.266448396	-114180.0227		0.01	0		16833.33333	-19.96805112	6.266448396	166.6666667	-115321.8229	-1141.800227	-1141.800227	1
		4000	-12.77955272	28.21046432	30861.82321		0.01	0		4040	-12.77955272	28.21046432	40	31170.44144	308.6182321	308.6182321	1
		750	-11.98083067	158.1668169	54819.74483		0.01	0		757.5	-11.98083067	158.1668169	7.5	55367.94228	548.1974483	548.1974483	1
		857.1428571	-11.98083067	168.195009	66948.93356		0.01	0		865.7142857	-11.98083067	168.195009	8.571428571	67618.4229	669.4893356	669.4893356	1
		950	-7.587859425	153.7216121	69413.53251		0.01	0		959.5	-7.587859425	153.7216121	9.5	70107.66784	694.1353251	694.1353251	1
		500	-7.987220447	232.0675215	56020.07526		0.01	0		505	-7.987220447	232.0675215	5	56580.27601	560.2007526	560.2007526	1
		3750	-11.98083067	122.1906608	206643.4314		0.01	0		3787.5	-11.98083067	122.1906608	37.5	208709.8657	2066.434314	2066.434314	1
																	
12	"1, 3-18"	44444.44444	-1.597444089	0.098949511	-33299.87952		0.01	0.02		44888.88889	-1.629392971	0.100928501	444.4444444	-34305.53588	-1005.656362	-1005.656362	3
	Recycling	2020	-16.1341853	11.11570996	-5068.660095		0.01	0.02		2040.2	-16.45686901	11.33802416	20.2	-5221.73363	-153.0735349	-153.0735349	3
		952.3809524	-7.987220447	28.68693506	9857.006957		0.01	0.02		961.9047619	-8.146964856	29.26067376	9.523809524	10154.68857	297.6816101	297.6816101	3
		9000	-21.56549521	4.911302514	-74943.86712		0.01	0.02		9090	-21.99680511	5.009528565	90	-77207.17191	-2263.304787	-2263.304787	3
		750	-11.98083067	61.50474387	18571.46745		0.01	0.02		757.5	-12.22044728	62.73483875	7.5	19132.32577	560.858317	560.858317	3
		8080	-16.1341853	7.862072621	-33419.33524		0.01	0.02		8160.8	-16.45686901	8.019314073	80.8	-34428.59916	-1009.263924	-1009.263924	3
		595.2380952	-9.984025559	126.61251	34710.85847		0.01	0.02		601.1904762	-10.18370607	129.1447602	5.952380952	35759.12639	1048.267926	1048.267926	3
		3600	-7.188498403	21.80532287	26310.28405		0.01	0.02		3636	-7.332268371	22.24142933	36	27104.85463	794.5705783	794.5705783	3
		564.7058824	-19.16932907	144.0627284	35264.01864		0.01	0.02		570.3529412	-19.55271565	146.943983	5.647058824	36328.99201	1064.973363	1064.973363	3
		2266.666667	-13.57827476	37.38297454	26978.65975		0.01	0.02		2289.333333	-13.84984026	38.13063403	22.66666667	27793.41527	814.7555245	814.7555245	3
		16666.66667	-19.96805112	6.266448396	-114180.0227		0.01	0.02		16833.33333	-20.36741214	6.391777364	166.6666667	-117628.2594	-3448.236685	-3448.236685	3
		4000	-12.77955272	28.21046432	30861.82321		0.01	0.02		4040	-13.03514377	28.77467361	40	31793.85027	932.0270609	932.0270609	3
		750	-11.98083067	158.1668169	54819.74483		0.01	0.02		757.5	-12.22044728	161.3301532	7.5	56475.30113	1655.556294	1655.556294	3
		857.1428571	-11.98083067	168.195009	66948.93356		0.01	0.02		865.7142857	-12.22044728	171.5589092	8.571428571	68970.79135	2021.857794	2021.857794	3
		950	-7.587859425	153.7216121	69413.53251		0.01	0.02		959.5	-7.739616613	156.7960443	9.5	71509.8212	2096.288682	2096.288682	3
